name,state,office,party,incumbent,campaign_website,profile_url
Delila Barrera,Illinois,U.S. House Illinois District 9,Independent,False,,https://ballotpedia.org/Delila_Barrera
Howard Rosenblum,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Howard_Rosenblum
Jan Schakowsky,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Jan_Schakowsky
David Abrevaya,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/David_Abrevaya
Miracle Jenkins,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Miracle_Jenkins
Tamika La'Shon Hill,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Tamika_La'Shon_Hill
Bruce Leon,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Bruce_Leon
Carl Lambrecht,Illinois,U.S. House Illinois District 10,Republican,False,,https://ballotpedia.org/Carl_Lambrecht
Thomas Rudd,Illinois,U.S. House Illinois District 10,Democratic,False,,https://ballotpedia.org/Thomas_Rudd
Morgan Coghill,Illinois,U.S. House Illinois District 10,Democratic,False,,https://ballotpedia.org/Morgan_Coghill
Brad Schneider,Illinois,U.S. House Illinois District 10,Democratic,False,,https://ballotpedia.org/Brad_Schneider
John Minarcik,Illinois,U.S. House Illinois District 10,Democratic,False,,https://ballotpedia.org/John_Minarcik
Jill Manrique,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Jill_Manrique
Lauren Million,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Lauren_Million
Bill Foster,Illinois,U.S. House Illinois District 11,Democratic,False,,https://ballotpedia.org/Bill_Foster_(Illinois)
Austin Mink,Illinois,U.S. House Illinois District 10,Independent,False,,https://ballotpedia.org/Austin_Mink
Tedora Brown,Illinois,U.S. House Illinois District 11,Republican,False,,https://ballotpedia.org/Tedora_Brown
Charlie Kim,Illinois,U.S. House Illinois District 11,Republican,False,,https://ballotpedia.org/Charlie_Kim
Jeffrey Walter,Illinois,U.S. House Illinois District 11,Republican,False,,https://ballotpedia.org/Jeffrey_Walter
Mike Bost,Illinois,U.S. House Illinois District 12,Republican,False,,https://ballotpedia.org/Mike_Bost
